gauge,month,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,month,year
1943003,8,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1983
1943003,9,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,2.53,0.04,0.36,0.0,4.86,5.66,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,14.74,8.96,0.0,0.0,2.29,8.24,9.44,,9,1983
1943003,10,1983,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,11.12,17.59,14.27,0.98,0.0,0.89,0.0,11.87,32.35,0.0,7.81,15.6,0.56,0.0,0.0,0.0,0.0,10.13,0.0,10,1983
1943003,11,1983,0.0,0.33,11.7,9.74,7.79,43.71,0.0,9.55,0.0,0.0,0.0,10.02,18.12,0.98,0.0,33.75,16.72,7.32,0.0,0.0,0.0,6.86,0.33,0.0,0.0,0.0,0.0,0.14,0.0,0.05,,11,1983
1943003,12,1983,7.25,9.83,73.5,21.26,2.98,3.18,18.08,56.02,4.67,20.76,4.67,26.02,16.29,0.0,5.96,2.19,7.65,0.0,0.0,0.0,0.0,3.87,0.0,71.91,6.06,46.88,6.06,0.0,0.0,0.0,0.0,12,1983
1943003,1,1984,0.0,0.15,0.0,0.0,0.0,0.0,11.08,0.0,11.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.33,13.11,36.92,1.9,0.0,13.65,9.38,0.0,0.0,0.0,1,1984
1943003,2,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,0.0,0.0,4.19,2.96,0.0,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2,1984
1943003,3,1984,0.0,0.0,0.0,0.0,0.0,0.0,13.32,11.2,7.34,0.0,0.0,0.0,0.0,10.28,5.42,0.0,0.0,0.0,0.0,0.0,0.0,0.01,14.14,2.07,0.0,0.0,0.0,35.93,0.01,0.0,9.67,3,1984
1943003,4,1984,0.4,0.0,0.0,0.0,5.24,7.25,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4,1984
1943003,5,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,9.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1984
1943003,6,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6,1984
1943003,7,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1984
1943003,8,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,0.0,0.0,21.18,0.0,0.0,8,1984
1943003,9,1984,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43,7.88,0.0,9.32,0.0,0.0,0.0,0.0,0.0,7.55,0.0,0.0,0.0,,9,1984
1943003,10,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10,1984
1943003,11,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,0.0,,11,1984
1943003,12,1984,,,,,,,0.0,0.0,,,,,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,12,1984
1943003,1,1985,9.74,0.0,9.53,2.27,8.36,0.0,10.81,9.74,10.7,7.72,0.0,10.81,10.81,0.0,0.0,0.0,25.01,14.76,20.1,17.11,26.29,21.38,13.48,16.68,26.72,31.2,40.17,15.19,25.22,19.46,2.81,1,1985
1943003,2,1985,0.0,0.0,0.0,0.0,0.0,0.0,11.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.48,22.13,21.69,44.25,27.94,1.8,,,,2,1985
1943003,3,1985,0.0,1.94,0.0,0.0,0.0,0.0,0.0,3.97,2.14,0.41,27.69,0.0,8.63,50.2,0.0,8.83,33.77,32.76,25.46,37.83,0.0,0.0,0.41,0.0,0.0,0.0,0.0,2.35,0.0,4.98,0.0,3,1985
1943003,4,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4,1985
1943003,5,1985,0.0,3.75,0.0,2.46,0.0,3.75,0.0,0.0,0.0,0.0,15.2,18.34,0.32,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1985
1943003,6,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6,1985
1943003,7,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1985
1943003,8,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,5.1,0.0,0.0,9.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1985
1943003,9,1985,0.0,0.0,0.0,0.0,0.0,13.18,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.07,4.5,11.25,0.0,0.0,3.86,4.02,,9,1985
1943003,10,1985,0.0,6.59,10.73,4.1,0.0,0.0,0.0,0.23,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.43,0.0,0.0,0.0,24.0,0.0,28.97,13.05,0.0,0.0,0.0,0.56,12.72,3.77,10,1985
1943003,11,1985,0.0,0.0,0.0,5.08,19.41,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,24.53,5.45,27.79,15.32,12.71,94.62,7.5,6.94,,11,1985
1943003,12,1985,49.78,0.0,0.0,8.86,16.01,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,18.2,13.03,9.26,4.69,0.0,0.0,0.0,24.75,0.79,10.05,21.57,16.01,9.26,43.62,4.49,3.89,0.39,12,1985
1943003,1,1986,7.75,14.37,19.49,78.2,0.0,76.07,42.33,26.11,3.27,30.17,15.01,0.0,0.0,22.05,0.68,7.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1,1986
1943003,2,1986,0.0,0.0,0.0,5.59,0.0,50.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.22,6.03,0.0,0.0,7.37,24.8,6.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2,1986
1943003,3,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,3.24,0.0,0.0,3,1986
1943003,4,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81,0.0,0.0,0.0,0.0,0.0,14.03,0.0,0.0,0.0,0.0,2.81,0.0,0.0,,4,1986
1943003,5,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,19.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1986
1943003,6,1986,10.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6,1986
1943003,7,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1986
1943003,8,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11,6.11,0.0,0.0,0.0,50.18,10.2,5.05,0.0,0.0,0.0,8,1986
1943003,9,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,12.89,,9,1986
1943003,10,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1986
1943003,11,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,0.0,16.38,23.83,4.65,14.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.18,5.58,2.05,,11,1986
1943003,12,1986,2.71,5.49,0.0,0.0,0.0,0.0,0.0,3.9,6.68,12.05,19.0,24.96,0.0,0.0,4.5,11.45,0.99,0.0,0.0,0.0,0.0,0.0,13.64,14.63,14.83,14.83,4.9,0.79,4.5,3.11,16.02,12,1986
1943003,1,1987,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,6.02,0.0,3.24,10.5,9.01,6.87,3.45,34.63,2.6,3.45,0.0,0.0,1,1987
