//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2013 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado
//
// Restrições da consulta:
//	Código da Estação:1943025
//
//------------------------------------------------------------------------------
 //EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status;
1943025;1;01/03/1989;1;65,7;246,8;13;14;1;1;1;1665,8;1;0;0;0;5,2;0,3;3,1;2;38,8;34,4;55,2;4;0;65,7;12,5;9,5;12;0;0;2,6;1,5;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/04/1989;1;5,5;7,5;23;3;1;1;1;1665,8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5,5;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1943025;1;01/05/1989;1;1,4;3,1;10;3;1;1;1;1665,8;1;0;0;0;0;0;0;0;0;0,7;1,4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/06/1989;1;40,6;78,2;26;4;1;1;1;1665,8;1;0;0;0;0;0;0;0;0;0;0;22,2;12,5;0;0;0;0;0;0;0;2,9;0;0;0;0;0;40,6;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1943025;1;01/07/1989;1;20,5;20,5;31;1;1;1;1;1665,8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/08/1989;1;10,9;17,2;29;2;1;1;1;1665,8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,3;0;0;0;0;0;0;0;0;10,9;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/09/1989;1;20;52,7;15;5;1;1;1;1665,8;1;0;0;7,4;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;6,8;0;0;0;0;0;0;0;17,8;0,7;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1943025;1;01/10/1989;1;19,7;106,7;9;16;1;1;1;1665,8;1;3,4;0,7;0;0;0;1,1;0;12,3;19,7;16,1;0;8,4;3,6;3,3;0;0,1;13,7;8,3;9;0;0;0;3,7;0,3;0;0;0;0;3;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/11/1989;1;93,5;483;7;18;1;1;1;1665,8;1;0;1,5;1,8;20;0,5;7,8;93,5;0;0;0;72;47,3;10,5;45,5;13,4;0;0;42;27;7,2;18,5;0;0;0;0;31,5;0;0;25;18;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1943025;1;01/12/1989;1;75,1;423,2;16;23;1;1;1;1665,8;1;16;0,7;0,6;9;1;0;0,1;0;0;4;24,3;40;35;13,3;20;75,1;25;13,5;3,2;35;75;0,4;21,2;0;0;0;6,3;1,5;0;0;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/01/1990;1;27;72,5;1;7;1;1;1;949,1;1;27;3,1;13,4;0;22;1,6;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,2;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/02/1990;1;51;134,9;14;15;1;1;1;949,1;1;0;0;5,3;0;0;0;0;0;0;0;0,9;2,9;2;51;12,6;3;1,2;0;9,7;2,5;0;0;3,6;7,7;1,3;25;6,2;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
1943025;1;01/03/1990;1;28;68,9;27;7;1;1;1;949,1;1;0;0;0;0;0;0;0,8;0;0;0;0;0;0;1;0;0;0;0;3,7;0;0;0;0;21,6;9,9;3,9;28;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/04/1990;1;14;47,9;5;5;1;1;1;949,1;1;0;0;0;0;14;0;0;0;0;2;8,5;13,4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1943025;1;01/05/1990;1;28;48,4;3;5;1;1;1;949,1;1;0;5,3;28;0;0;0;0;0;0;0;0;9,4;0;0;0;0;4,1;1,6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/06/1990;1;2,3;3,3;30;2;1;1;1;949,1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2,3;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1943025;1;01/05/1956;1;24;96,4;8;12;1;1;1;1311;1;0;0;0,1;0;0,1;0;0;24;2;0;5;0;20,6;21;6;0;6,2;0;0;2,2;1;0;0;0;0;8,2;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/06/1956;1;22,6;59,1;14;5;1;1;1;1311;1;0;0;11,4;0;0;0;0;0;0;0;20;5;0,1;22,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1943025;1;01/07/1956;1;4,2;4,2;8;1;1;1;1;1311;1;0;0;0;0;0;0;0;4,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/08/1956;1;4;4;25;1;1;1;1;1311;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/09/1956;1;1;1;9;1;1;1;1;1311;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1943025;1;01/10/1956;1;14,4;48,8;12;9;1;1;1;1311;1;3;0;0;0;0;0;0;0;0;0;2,2;14,4;0;0;0;0;0;6;0;0;0;0;2;12;0;0;0;2;0;5,2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/11/1956;1;61;312,7;24;17;1;1;1;1311;1;0;0;0;19,6;12;3;0;0;0;24;5,4;0;25,2;0,1;9,2;0;0;0;0;10,4;8,8;13,4;17,6;61;27,8;37,4;34;3,8;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1943025;1;01/12/1956;1;74;459;27;19;1;1;1;1311;1;0;0;4,2;0;0;8,2;24,8;10,4;36,8;9,8;0;0;0;19;26,2;47,4;0;0;8,8;52,4;5,2;3;3,4;0;14,2;49,6;74;38,2;0;0;23,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/01/1957;1;49;244,6;13;18;1;1;1;1979,5;1;2,6;3;4;0;0;0;0;10,2;0;8,4;10,6;42;49;0;32,4;11,4;25;14,2;1;19,6;3;1,2;0;2;0;0;0;0;5;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/02/1957;1;44,6;253,6;19;19;1;1;1;1979,5;1;0;0;1;2;0;3;0;0;10,2;28,2;1;7;8,2;7,6;40,4;9;3;0;44,6;4,2;24;27,6;13,6;9;10;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
1943025;1;01/03/1957;1;59,6;243,2;23;14;1;1;1;1979,5;1;0;0;0;0;0;0;6,6;3;30;30,2;1;28,8;14,4;39;3;0;17;6,6;0;0;0;0;59,6;3;0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/04/1957;1;80,6;265;5;11;1;1;1;1979,5;1;0;28;12;67,6;80,6;4,4;14,6;2;0;2;0;0;9,6;0;0;42,6;0;0;0;0;0;0;0;0;0;0;0;0;1,6;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1943025;1;01/05/1957;1;31;58;16;8;1;1;1;1979,5;1;0;0;0;0;0;0;6;0;0;10,6;0,1;10;0;0;0,1;31;0;0,1;0;0;0,1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/06/1957;1;0;0;1;0;1;1;1;1979,5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1943025;1;01/07/1957;1;5;11,9;26;4;1;1;1;1979,5;1;0;0;0;0;0;0;0;0;2,6;0,1;4,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/08/1957;1;2,2;2,2;3;1;1;1;1;1979,5;1;0;0;2,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1943025;1;01/09/1957;1;57,6;104,6;27;3;1;1;1;1979,5;1;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57,6;0;0;40;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1943025;1;01/10/1957;1;24,6;31,1;26;3;1;1;1;1979,5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;24,6;0;6,4;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
