,days_over,return_period
540,0.0,1
541,0.0,1
542,0.0,1
543,0.0,1
544,0.0,1
545,0.0,1
546,0.0,1
547,0.0,1
548,2.0,6
549,5.0,33
550,0.0,1
551,0.0,1
552,0.0,1
553,3.0,12
554,0.0,1
555,0.0,1
556,0.0,1
557,1.0,3
558,0.0,1
559,0.0,1
560,0.0,1
561,2.0,6
562,1.0,3
563,0.0,1
564,1.0,3
565,0.0,1
566,0.0,1
567,0.0,1
568,0.0,1
569,1.0,3
570,0.0,1
571,1.0,3
572,3.0,12
573,2.0,6
574,0.0,1
575,2.0,6
576,0.0,1
577,3.0,12
578,2.0,6
579,4.0,21
580,3.0,12
581,0.0,1
582,0.0,1
583,2.0,6
584,0.0,1
585,0.0,1
586,0.0,1
587,0.0,1
588,1.0,3
589,1.0,3
590,0.0,1
591,0.0,1
592,0.0,1
593,2.0,6
594,0.0,1
595,0.0,1
596,0.0,1
597,1.0,3
598,0.0,1
599,0.0,1
600,4.0,21
601,0.0,1
602,0.0,1
603,0.0,1
604,0.0,1
605,0.0,1
606,0.0,1
607,0.0,1
608,0.0,1
609,0.0,1
610,0.0,1
611,0.0,1
612,0.0,1
613,2.0,6
614,0.0,1
615,0.0,1
616,0.0,1
617,0.0,1
618,8.0,108
619,0.0,1
620,0.0,1
621,2.0,6
622,1.0,3
623,0.0,1
624,0.0,1
625,0.0,1
626,0.0,1
627,2.0,6
628,0.0,1
629,1.0,3
630,0.0,1
631,3.0,12
632,0.0,1
633,0.0,1
634,3.0,12
635,0.0,1
636,0.0,1
637,0.0,1
638,0.0,1
639,0.0,1
640,2.0,6
641,0.0,1
642,2.0,6
643,0.0,1
644,0.0,1
645,0.0,1
646,0.0,1
647,4.0,21
648,1.0,3
649,0.0,1
650,0.0,1
651,1.0,3
652,0.0,1
653,0.0,1
654,1.0,3
655,0.0,1
656,0.0,1
657,0.0,1
658,0.0,1
659,0.0,1
660,2.0,6
661,0.0,1
662,0.0,1
663,3.0,12
664,5.0,33
665,0.0,1
666,0.0,1
667,1.0,3
668,2.0,6
669,3.0,12
670,0.0,1
671,0.0,1
672,0.0,1
673,1.0,3
674,0.0,1
675,1.0,3
676,0.0,1
677,7.0,75
678,2.0,6
679,0.0,1
680,0.0,1
681,0.0,1
682,0.0,1
683,1.0,3
684,9.0,147
685,1.0,3
686,0.0,1
687,2.0,6
688,0.0,1
689,0.0,1
690,0.0,1
691,2.0,6
692,1.0,3
693,0.0,1
694,0.0,1
695,0.0,1
696,4.0,21
697,2.0,6
698,6.0,52
699,0.0,1
700,0.0,1
701,0.0,1
702,0.0,1
703,0.0,1
704,5.0,33
705,0.0,1
706,0.0,1
707,0.0,1
708,0.0,1
709,0.0,1
710,0.0,1
711,0.0,1
712,0.0,1
713,1.0,3
714,1.0,3
715,1.0,3
716,0.0,1
717,6.0,52
718,10.0,212
719,0.0,1
720,1.0,3
721,2.0,6
722,4.0,21
723,0.0,1
724,0.0,1
725,3.0,12
726,0.0,1
727,0.0,1
728,0.0,1
729,0.0,1
730,0.0,1
731,0.0,1
732,0.0,1
733,0.0,1
734,0.0,1
735,0.0,1
736,0.0,1
737,0.0,1
738,0.0,1
739,3.0,12
740,0.0,1
741,0.0,1
742,0.0,1
743,0.0,1
744,1.0,3
745,0.0,1
746,0.0,1
747,0.0,1
748,0.0,1
749,3.0,12
750,0.0,1
751,0.0,1
752,0.0,1
753,0.0,1
754,0.0,1
755,1.0,3
756,0.0,1
757,1.0,3
758,0.0,1
759,0.0,1
760,3.0,12
761,0.0,1
762,0.0,1
763,0.0,1
764,0.0,1
765,0.0,1
766,0.0,1
767,0.0,1
768,0.0,1
769,0.0,1
770,0.0,1
771,0.0,1
772,0.0,1
773,0.0,1
774,2.0,6
775,0.0,1
776,0.0,1
777,0.0,1
778,0.0,1
779,0.0,1
780,2.0,6
781,0.0,1
782,0.0,1
783,1.0,3
784,3.0,12
785,3.0,12
786,5.0,33
787,0.0,1
788,0.0,1
789,0.0,1
790,0.0,1
791,0.0,1
792,2.0,6
793,0.0,1
794,0.0,1
795,5.0,33
796,0.0,1
797,0.0,1
798,0.0,1
799,1.0,3
800,0.0,1
801,0.0,1
802,0.0,1
803,11.0,285
804,2.0,6
805,0.0,1
806,0.0,1
807,0.0,1
808,0.0,1
809,0.0,1
810,2.0,6
811,0.0,1
