,elnino_metric,month,n,p_value,r_value,sig,station
0,nino3.4a,12.0,62.0,0.37814230060341303,-0.11388115827209994,0.0,1943003
0,nino3.4a,3.0,60.0,0.40103014134656967,-0.11040601175878142,0.0,1843002
0,nino3a,12.0,62.0,0.3956643311689815,-0.10978020134130966,0.0,1943003
0,nino12a,6.0,68.0,0.42812734900654414,-0.09767340905420428,0.0,1943025
0,nino4a,12.0,57.0,0.4881004199992425,-0.09370791760640544,0.0,1943035
0,nino3.4a,3.0,57.0,0.5058113432534284,-0.08994472851421066,0.0,1943035
0,nino4a,3.0,64.0,0.48312619695433534,-0.08924420041236163,0.0,1943003
0,nino3a,3.0,60.0,0.5154250092676573,-0.08561466118598729,0.0,1843002
0,nino4a,5.0,60.0,0.532677512170771,-0.08213984366996424,0.0,1843002
0,nino3.4a,3.0,64.0,0.5285627334329625,-0.08022930561659483,0.0,1943003
0,nino4a,5.0,65.0,0.5462569856996128,-0.07620962866668485,0.0,1943003
0,nino3.4a,6.0,68.0,0.5553887003983746,-0.07276636058817428,0.0,1943025
0,nino12a,11.0,63.0,0.5718175889373671,-0.07259030476765627,0.0,1943003
0,nino4a,3.0,68.0,0.5650523439197912,-0.07100002519034582,0.0,1943025
0,nino3a,3.0,57.0,0.6242101177845285,-0.0662848951253819,0.0,1943035
0,nino12a,3.0,57.0,0.639985478295422,-0.0632909200271768,0.0,1943035
0,nino12a,2.0,68.0,0.619415025648072,-0.06131123038769279,0.0,1943025
0,nino3.4a,6.0,56.0,0.7176847443853298,-0.04939945161024116,0.0,1943035
0,nino3a,12.0,61.0,0.726668950939985,-0.045678178986228786,0.0,1843002
0,nino3a,2.0,68.0,0.7364474310436149,-0.041567085798258116,0.0,1943025
0,nino12a,6.0,65.0,0.7551246775858783,-0.0394352225040376,0.0,1943003
0,nino3.4a,6.0,60.0,0.7790161634967535,-0.03699123174371064,0.0,1843002
0,nino4a,12.0,62.0,0.7787122253802298,-0.03641599905977731,0.0,1943003
0,nino12a,12.0,69.0,0.7683035737932309,-0.03611320197685995,0.0,1943025
0,nino12a,4.0,65.0,0.7876747482898722,-0.03405757367013854,0.0,1943003
0,nino12a,10.0,69.0,0.8104366940636795,-0.02940706786627436,0.0,1943025
0,nino4a,6.0,65.0,0.8202551576166921,-0.028734503934395306,0.0,1943003
