gauge,month,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1943025,8,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1943025,9,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.38,14.39,0.0,0.23,24.03,5.71,0.39,0.0,0.0,0.0,0.0,0.0,
1943025,10,1987,0.0,0.0,0.0,0.0,0.0,0.0,5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.56,11.81,4.18,74.32,0.0,0.0,0.0,0.0,0.0,0.02,7.25
1943025,11,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.0,0.0,11.71,0.0,3.14,0.0,0.46,29.57,63.27,0.0,0.0,0.0,0.0,0.0,3.42,0.0,0.0,3.33,0.0,0.0,15.71,0.0,
1943025,12,1987,3.33,0.0,24.49,29.95,16.05,0.77,26.97,59.75,100.47,0.0,18.53,12.08,29.95,23.0,6.12,0.0,0.0,0.0,49.62,42.17,2.64,19.23,12.87,0.0,0.0,0.0,90.74,0.0,0.0,0.0,0.0
1943025,1,1988,49.34,2.69,5.04,15.18,0.49,0.0,7.5,10.06,21.59,0.0,16.25,32.26,11.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87
1943025,2,1988,38.09,12.29,43.12,51.5,3.69,60.99,20.11,9.16,27.26,3.35,41.78,47.92,2.23,0.0,0.0,0.0,0.0,24.57,0.0,0.0,0.0,0.0,0.0,15.64,0.0,0.0,0.0,0.0,0.0,,
1943025,3,1988,0.0,0.0,0.0,4.99,3.87,85.59,0.81,0.0,0.0,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1943025,4,1988,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.94,0.0,0.0,6.5,24.93,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,6.1,0.0,
1943025,5,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0
1943025,6,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1943025,7,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1943025,8,1988,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1943025,9,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,
