gauge,month,year,day,pr,wet_marker
1943025,2,1981,20,0.0,1
1943025,2,1981,21,0.0,1
1943025,2,1981,22,0.0,1
1943025,2,1981,23,0.0,1
1943025,2,1981,24,5.36,0
1943025,2,1981,25,0.0,1
1943025,2,1981,26,0.0,1
1943025,2,1981,27,0.0,1
1943025,2,1981,28,0.0,1
1943025,3,1981,1,0.0,1
1943025,3,1981,2,0.0,1
1943025,3,1981,3,0.0,1
1943025,3,1981,4,0.0,1
1943025,3,1981,5,0.0,1
1943025,3,1981,6,14.57,0
1943025,3,1981,7,0.6,1
1943025,3,1981,8,31.8,0
1943025,3,1981,9,22.48,0
1943025,3,1981,10,3.21,0
1943025,3,1981,11,0.0,1
1943025,3,1981,12,0.0,1
1943025,3,1981,13,0.0,1
1943025,3,1981,14,0.0,1
1943025,3,1981,15,0.0,1
1943025,3,1981,16,0.0,1
1943025,3,1981,17,0.0,1
1943025,3,1981,18,0.0,1
1943025,3,1981,19,16.6,0
1943025,3,1981,20,0.0,1
1943025,3,1981,21,11.53,0
1943025,3,1981,22,38.9,0
1943025,3,1981,23,0.81,1
1943025,3,1981,24,0.0,1
1943025,3,1981,25,0.0,1
1943025,3,1981,26,10.72,0
1943025,3,1981,27,18.62,0
1943025,3,1981,28,30.18,0
1943025,3,1981,29,27.75,0
1943025,3,1981,30,8.28,0
1943025,3,1981,31,10.31,0
1943025,4,1981,1,0.0,1
1943025,4,1981,2,17.84,0
1943025,4,1981,3,0.0,1
1943025,4,1981,4,0.0,1
1943025,4,1981,5,0.0,1
1943025,4,1981,6,0.0,1
1943025,4,1981,7,0.0,1
1943025,4,1981,8,0.0,1
1943025,4,1981,9,0.0,1
1943025,4,1981,10,2.61,0
1943025,4,1981,11,0.0,1
1943025,4,1981,12,0.0,1
1943025,4,1981,13,0.0,1
1943025,4,1981,14,0.0,1
1943025,4,1981,15,0.0,1
1943025,4,1981,16,0.0,1
1943025,4,1981,17,0.0,1
1943025,4,1981,18,0.0,1
1943025,4,1981,19,0.0,1
1943025,4,1981,20,0.0,1
1943025,4,1981,21,0.0,1
1943025,4,1981,22,0.0,1
1943025,4,1981,23,0.0,1
1943025,4,1981,24,0.0,1
1943025,4,1981,25,0.0,1
